,Year,Month,Madrid,Barcelona,Malaga,Sevilla,Zaragoza,Valencia.1,Bilbao
11,1980,1,10.76,8.87,12.98,13.02,10.2,15.35,10.67
12,1980,1,7.4,9.22,11.78,12.24,8.61,13.76,7.52
13,1980,1,3.87,7.38,10.66,10.37,5.69,8.8,7.27
14,1980,1,3.65,7.78,10.55,9.32,5.69,8.74,8.21
15,1980,1,4.2,8.29,10.87,9.28,6.57,10.62,7.81
16,1980,1,2.27,7.88,10.18,9.9,4.89,8.85,6.81
17,1980,1,3.26,7.31,10.36,8.92,4.6,7.47,6.29
18,1980,1,2.28,6.91,10.33,8.57,2.4,6.68,5.76
19,1980,1,4.98,8.69,10.65,10.55,6.79,8.94,7.29
20,1980,1,5.8,8.18,10.32,10.27,6.77,9.87,6.99
21,1980,1,5.71,7.19,9.79,9.26,5.23,10.19,5.07
22,1980,1,2.23,4.22,7.45,7.67,0.65,6.13,2.04
23,1980,1,-0.11,5.16,6.43,6.97,-0.02,5.51,0.57
24,1980,1,4.08,7.58,6.09,7.56,2.3,8.68,2.1
25,1980,1,2.29,8.11,7.5,8.58,3.56,8.45,3.5
26,1980,1,1.89,6.86,7.97,8.64,4.33,8.2,2.88
27,1980,1,3.01,6.69,7.82,8.36,2.11,7.93,2.97
28,1980,1,1.83,6.42,6.77,6.39,3.53,6.4,3.56
29,1980,1,2.51,6.49,8.2,8.21,5.12,7.81,5.1
30,1980,1,4.98,7.78,10.6,10.42,6.08,10.18,6.92
31,1980,1,5.91,8.17,9.42,8.84,7.68,11.02,10.2
32,1980,1,8.07,10.98,9.56,9.6,10.7,12.12,9.49
33,1980,1,9.79,11.15,10.66,10.12,13.13,13.27,11.73
34,1980,1,9.39,12.94,13.07,13.19,12.64,14.57,12.94
35,1980,1,10.42,11.83,13.89,14.02,11.5,13.93,10.84
36,1980,1,8.71,10.56,12.72,14.43,9.01,11.73,10.72
37,1980,1,10.1,10.48,13.0,14.37,9.27,10.07,9.36
38,1980,1,8.71,8.86,11.82,13.96,7.95,10.09,9.77
39,1980,1,7.15,9.56,11.69,12.29,7.04,9.73,9.82
40,1980,1,6.77,9.17,11.23,11.47,7.7,9.37,11.34
41,1980,1,8.96,10.86,12.0,12.76,10.44,12.9,11.25
42,1980,2,5.92,11.12,11.77,9.81,8.77,11.87,8.96
43,1980,2,6.72,10.53,11.93,9.3,7.37,10.86,9.4
44,1980,2,7.97,10.54,11.96,11.67,10.48,11.98,11.65
45,1980,2,8.6,12.97,12.28,12.73,11.94,13.3,12.37
46,1980,2,9.09,12.38,12.87,10.88,12.06,13.52,11.67
47,1980,2,8.49,11.35,12.67,11.14,10.21,12.4,11.42
48,1980,2,6.98,10.92,11.94,11.48,11.38,12.69,11.1
49,1980,2,6.08,10.52,11.64,10.82,9.68,10.3,11.74
50,1980,2,9.45,10.97,12.52,12.47,10.98,10.87,13.22
51,1980,2,7.0,10.62,12.23,12.4,9.28,11.56,8.4
52,1980,2,5.6,10.05,10.5,11.37,8.28,10.12,7.8
53,1980,2,5.9,9.48,10.04,10.81,6.98,9.72,7.61
54,1980,2,6.24,9.01,11.22,10.69,8.07,9.74,8.35
55,1980,2,6.25,9.54,11.99,10.77,9.6,9.58,9.33
56,1980,2,7.68,9.77,12.21,11.84,10.91,11.68,12.44
57,1980,2,11.61,9.78,14.56,16.2,12.33,14.1,10.86
58,1980,2,8.6,9.36,13.65,14.95,10.43,11.18,8.78
59,1980,2,7.72,9.09,11.76,13.1,9.12,10.2,10.01
60,1980,2,7.34,9.83,11.74,11.97,9.3,10.5,10.99
61,1980,2,7.58,10.77,12.4,12.91,8.87,11.91,10.27
62,1980,2,9.62,11.1,12.0,11.57,9.99,11.72,11.06
63,1980,2,9.25,11.79,12.35,11.83,10.71,12.06,11.15
64,1980,2,10.26,11.27,13.56,15.01,10.45,12.34,9.32
65,1980,2,9.75,12.15,13.19,14.49,11.37,12.6,7.11
66,1980,2,9.13,11.6,12.91,13.19,10.84,12.3,7.47
67,1980,2,7.47,10.41,11.17,11.14,5.88,10.67,6.89
68,1980,2,5.03,9.18,10.7,11.16,6.85,10.03,6.83
69,1980,2,5.74,9.26,11.46,11.89,6.79,9.36,6.84
70,1980,2,6.85,8.98,13.31,11.39,5.74,9.36,6.09
71,1980,3,8.45,8.87,12.77,13.59,6.68,10.04,7.2
72,1980,3,10.8,9.59,12.36,12.56,9.91,11.51,7.76
73,1980,3,9.74,10.08,11.93,12.96,8.77,12.29,7.57
74,1980,3,9.05,10.27,12.01,13.23,8.26,11.91,7.68
75,1980,3,9.54,10.87,12.85,13.16,8.76,11.94,8.08
76,1980,3,10.26,10.77,12.72,12.86,11.66,13.54,11.47
77,1980,3,11.02,12.97,13.7,13.98,11.63,16.15,8.88
78,1980,3,8.92,11.71,11.49,11.56,9.19,13.91,8.12
79,1980,3,8.68,11.18,12.02,12.74,10.34,13.76,9.25
80,1980,3,8.85,10.84,12.84,14.2,10.56,11.79,9.16
81,1980,3,9.31,10.33,12.73,14.8,9.8,12.96,8.63
82,1980,3,10.02,10.03,11.84,15.29,11.1,12.91,9.65
83,1980,3,7.83,10.25,13.05,13.38,7.01,12.66,5.78
84,1980,3,5.93,8.12,11.55,12.49,5.03,10.49,3.68
85,1980,3,5.0,8.0,9.7,11.03,5.52,9.73,5.75
86,1980,3,7.36,8.99,10.42,10.93,8.63,10.61,7.08
87,1980,3,8.63,9.99,11.29,13.09,7.86,10.33,6.67
88,1980,3,8.17,10.34,11.18,13.19,9.47,11.17,6.89
89,1980,3,8.41,10.96,12.62,12.95,8.83,12.18,7.95
90,1980,3,7.08,10.77,12.01,12.09,8.47,12.83,7.65
91,1980,3,5.46,10.05,12.16,13.01,7.99,11.94,7.11
92,1980,3,6.69,9.55,11.43,11.12,7.9,12.85,6.95
93,1980,3,7.19,9.23,11.73,10.76,8.33,12.76,8.4
94,1980,3,8.02,10.22,11.14,12.07,9.85,12.41,11.23
95,1980,3,9.48,12.07,12.62,13.39,11.35,14.33,9.93
96,1980,3,12.05,12.97,13.58,14.32,14.76,16.64,14.76
97,1980,3,12.4,15.32,15.54,14.74,16.87,18.26,16.01
98,1980,3,14.59,15.71,16.02,17.15,17.15,19.73,14.36
99,1980,3,14.45,13.47,16.74,16.98,14.67,19.75,11.79
100,1980,3,14.49,12.87,16.5,18.23,14.42,16.95,12.93
101,1980,3,15.95,13.35,16.87,20.2,17.33,16.61,15.96
102,1980,4,17.29,14.56,18.94,21.11,19.35,20.38,13.89
103,1980,4,15.9,14.49,19.41,21.95,14.65,17.52,10.8
104,1980,4,15.31,11.97,17.06,22.38,11.74,15.0,9.14
105,1980,4,10.71,11.17,14.03,19.44,10.09,12.52,7.22
106,1980,4,9.91,10.43,13.81,17.02,9.04,10.61,7.0
107,1980,4,9.91,9.69,11.78,15.91,8.77,11.66,7.19
108,1980,4,10.18,9.33,11.92,15.76,10.01,11.13,8.11
109,1980,4,10.11,10.26,12.24,15.89,9.35,12.17,7.9
110,1980,4,9.98,10.77,12.5,15.64,9.37,12.94,7.46
111,1980,4,10.86,10.78,12.58,16.33,10.28,12.02,8.33
112,1980,4,12.14,10.46,12.11,15.14,12.28,11.86,12.23
113,1980,4,12.79,11.63,12.54,15.89,12.34,12.61,13.7
114,1980,4,12.08,12.51,12.9,15.93,12.56,13.02,14.12
115,1980,4,9.65,12.54,13.06,13.78,11.47,13.18,13.43
116,1980,4,8.02,13.64,11.9,12.99,10.87,14.56,8.22
117,1980,4,9.0,11.51,12.31,13.93,10.42,13.03,9.45
118,1980,4,10.09,11.45,12.61,15.91,11.47,12.65,10.89
119,1980,4,11.27,11.93,12.51,16.62,12.06,13.29,11.01
120,1980,4,12.14,13.62,13.8,17.59,12.62,16.17,10.39
