,Year,Month,Madrid,Barcelona,Barcelona,Malaga,Sevilla,Zaragoza,Valencia,Valencia,Cartagena,Bilbao,Santiago,Santiago
11,1980,1,10.76,8.87,25.91,12.98,13.02,10.2,23.02,15.35,27.03,10.67,20.37,22.25
12,1980,1,7.4,9.22,26.01,11.78,12.24,8.61,22.97,13.76,27.46,7.52,19.45,21.89
13,1980,1,3.87,7.38,25.81,10.66,10.37,5.69,23.14,8.8,27.19,7.27,17.03,22.54
14,1980,1,3.65,7.78,26.24,10.55,9.32,5.69,23.06,8.74,27.27,8.21,19.09,22.84
15,1980,1,4.2,8.29,26.13,10.87,9.28,6.57,23.7,10.62,27.32,7.81,21.42,22.52
16,1980,1,2.27,7.88,26.16,10.18,9.9,4.89,23.35,8.85,27.73,6.81,21.46,21.73
17,1980,1,3.26,7.31,25.74,10.36,8.92,4.6,22.5,7.47,27.77,6.29,22.05,22.42
18,1980,1,2.28,6.91,25.54,10.33,8.57,2.4,21.85,6.68,27.82,5.76,21.8,22.26
19,1980,1,4.98,8.69,24.79,10.65,10.55,6.79,20.96,8.94,27.52,7.29,23.03,22.31
20,1980,1,5.8,8.18,24.54,10.32,10.27,6.77,20.43,9.87,27.2,6.99,22.14,21.93
21,1980,1,5.71,7.19,24.36,9.79,9.26,5.23,20.72,10.19,26.98,5.07,20.78,21.24
22,1980,1,2.23,4.22,24.51,7.45,7.67,0.65,20.25,6.13,26.99,2.04,19.83,21.66
23,1980,1,-0.11,5.16,24.91,6.43,6.97,-0.02,21.48,5.51,26.62,0.57,19.71,22.76
24,1980,1,4.08,7.58,24.74,6.09,7.56,2.3,21.12,8.68,26.61,2.1,19.74,22.64
25,1980,1,2.29,8.11,25.13,7.5,8.58,3.56,21.67,8.45,26.69,3.5,21.01,21.56
26,1980,1,1.89,6.86,25.38,7.97,8.64,4.33,21.34,8.2,26.64,2.88,21.92,20.9
27,1980,1,3.01,6.69,25.15,7.82,8.36,2.11,20.88,7.93,26.88,2.97,21.56,21.55
